index,artist,artist_id,name,id,url,album_name,album_id,release_date,duration_ms,explicit,popularity,added_at
154,Sinjith Yerramilli,30p5WaPxeojOvFem2XwJtd,Khathyayani,2mbJs7Lst8tAyJ3DIkfLiI,https://open.spotify.com/track/2mbJs7Lst8tAyJ3DIkfLiI,Little Hearts,3VEcAymSMNCgrQsXxxSaWp,2025-08-07,164000,False,54,2025-09-20T11:59:38Z
155,Thaman S,2FgHPfRprDaylrSRVf1UlN,"Trance of Omi (From ""They Call Him OG"")",3UtQB2Z4sNPBGGV1VkFIzT,https://open.spotify.com/track/3UtQB2Z4sNPBGGV1VkFIzT,"Trance of Omi (From ""They Call Him OG"")",1H15UAj9xq0lUSeeMy9w1H,2025-09-11,167045,False,62,2025-09-20T11:59:36Z
156,GowraHari,1GEwRtJ6snJ0z2hzmXAG80,"Vibe Undi (From ""Mirai"") [Telugu]",2N4dA1J0EkkXU7mRxtnfKv,https://open.spotify.com/track/2N4dA1J0EkkXU7mRxtnfKv,"Vibe Undi (From ""Mirai"") [Telugu]",36tlIgxlfBUU4tXa7Vo5XX,2025-07-26,202361,False,66,2025-09-20T11:59:35Z
157,Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O,"Monica (From ""Coolie"") (Telugu)",6ZjyKXvQIwalLNmJo3exz3,https://open.spotify.com/track/6ZjyKXvQIwalLNmJo3exz3,"Monica (From ""Coolie"") (Telugu)",2p84HXHvdYlzh85fUzVM2P,2025-07-11,188505,False,74,2025-09-20T11:59:31Z
158,Harris Jayaraj,29aw5YCdIw2FEXYyAJZI8l,Monna Kanipinchavu,4rc1WGmRJ2CsHXTmrBu3gH,https://open.spotify.com/track/4rc1WGmRJ2CsHXTmrBu3gH,Surya S/o Krishnan (Original Motion Picture Soundtrack),34EFScbYAJkSTujfbtT8gO,2008-10-31,332013,False,61,2025-09-15T11:14:45Z
159,Ram Miriyala,4A2XSc4OJjuPY4l6NjnrDj,Radhika,0S9j9OAG3KjmBg4j9XzFcC,https://open.spotify.com/track/0S9j9OAG3KjmBg4j9XzFcC,Tillu Square,7ujJhfGKy2qKe2OBQqw173,2023-11-27,188648,False,63,2025-09-15T11:14:17Z
160,G. V. Prakash,5VVN3xZw1i2qihfITZlvCZ,"Hey Rangule (From ""Amaran"") (Telugu)",7peNClR7CbF9bDYCmOiy4L,https://open.spotify.com/track/7peNClR7CbF9bDYCmOiy4L,"Hey Rangule (From ""Amaran"") (Telugu)",120PLlSxNHGkpMThOP3dvU,2024-10-04,229833,False,66,2025-09-15T11:13:48Z
161,Thaman S,2FgHPfRprDaylrSRVf1UlN,"Firestorm (From ""They Call Him OG"")",3lLX2Vm99sMD5kuZqnr2T0,https://open.spotify.com/track/3lLX2Vm99sMD5kuZqnr2T0,"Firestorm (From ""They Call Him OG"")",0wGtOzvfuupquwH9tfNSif,2025-08-02,240309,False,74,2025-09-15T11:13:43Z
162,Devi Sri Prasad,5sSzCxHtgL82pYDvx2QyEU,"Bujji Thalli (From ""Thandel"")",5MrLQeEVCWueDR4XejhFNG,https://open.spotify.com/track/5MrLQeEVCWueDR4XejhFNG,"Bujji Thalli (From ""Thandel"")",4a8iv6jApEjx5SuLyEnA2n,2024-11-21,248825,False,68,2025-09-15T11:13:07Z
163,Rela Kumar,62oOhStk8pQGEafnScrUP6,"Jigelu Rani (From ""Rangasthalam"")",5z3JFg0tq7sB4FvLrUubHU,https://open.spotify.com/track/5z3JFg0tq7sB4FvLrUubHU,Chandrabose Film Hits,6HRj58HOFQJ8ixNsYRBsHS,2018-05-30,305377,False,0,2025-08-04T15:51:41Z
